winning_agent,winning_bid_value,Winner Aggregated Signal,Profit,Probability,winning_bid_time,N,A,L,S,B,Delay
13.0,0.2655540969490564,0.1578580500114231,-0.1076960469376333,0.9322304283883499,1191.0,0.0,0.0,0.0,8.0,8.0,1.0
10.0,0.05101757726917985,0.057517837609975905,0.006500260340796059,0.9858247294048724,1202.0,0.0,0.0,0.0,8.0,8.0,1.0
12.0,0.26938017979294276,0.058828362659246,-0.21055181713369675,0.8199402644555474,1198.0,0.0,0.0,0.0,8.0,8.0,1.0
4.0,0.1836156210039459,0.19011086248841244,0.006495241484466535,0.9807765809529576,1203.0,0.0,0.0,0.0,8.0,8.0,1.0
15.0,0.26810987722472956,0.24264998987456016,-0.025459887350169408,0.8819895742901336,1187.0,0.0,0.0,0.0,8.0,8.0,1.0
14.0,0.26726391077204237,0.2279676436269401,-0.03929626714510226,0.955413158287336,1201.0,0.0,0.0,0.0,8.0,8.0,1.0
8.0,0.15180505297446312,0.15836083512498128,0.0065557821505181635,0.9901668587381817,1208.0,0.0,0.0,0.0,8.0,8.0,1.0
12.0,0.2636991305821209,0.07501360526395094,-0.18868552531816996,0.924876670819714,1202.0,0.0,0.0,0.0,8.0,8.0,1.0
15.0,0.2652874566298157,0.06683435762423275,-0.19845309900558294,0.8952738742636517,1184.0,0.0,0.0,0.0,8.0,8.0,1.0
11.0,0.26206562590043403,0.14593101132870323,-0.1161346145717308,0.90665120634242,1201.0,0.0,0.0,0.0,8.0,8.0,1.0
10.0,0.06982994778716795,0.07655133494186292,0.006721387154694974,0.9960293372616119,1207.0,0.0,0.0,0.0,8.0,8.0,1.0
9.0,0.26917474320877877,0.07060983835304557,-0.1985649048557332,0.9804456901855835,1194.0,0.0,0.0,0.0,8.0,8.0,1.0
1.0,0.0982701317216348,0.10484365933318955,0.006573527611554747,0.9930671799150141,1197.0,0.0,0.0,0.0,8.0,8.0,1.0
12.0,0.26129951343106866,0.05391875879040189,-0.20738075464066677,0.8235240097692801,1209.0,0.0,0.0,0.0,8.0,8.0,1.0
8.0,0.2662661835758947,0.09534583528856355,-0.17092034828733116,0.9080320004601927,1201.0,0.0,0.0,0.0,8.0,8.0,1.0
15.0,0.2580456227147673,0.07499593293182756,-0.18304968978293973,0.8881601246126056,1200.0,0.0,0.0,0.0,8.0,8.0,1.0
10.0,0.26171028681050224,0.07101505481094911,-0.19069523199955313,0.9049872942798187,1207.0,0.0,0.0,0.0,8.0,8.0,1.0
13.0,0.26718323330808197,0.08355475282714413,-0.18362848048093783,0.8683129813589129,1204.0,0.0,0.0,0.0,8.0,8.0,1.0
12.0,0.26782380715815546,0.06962258467302739,-0.19820122248512806,0.8502716945210567,1197.0,0.0,0.0,0.0,8.0,8.0,1.0
5.0,0.3199962783107442,0.326539578933234,0.006543300622489812,0.9481896888158523,1220.0,0.0,0.0,0.0,8.0,8.0,1.0
