winning_agent,winning_bid_value,Winner Aggregated Signal,Profit,Probability,winning_bid_time,N,A,L,S,B,Delay
6.0,0.08415671736665828,0.09161047154983551,0.00745375418317723,0.9926357230612086,1192.0,4.0,4.0,4.0,4.0,0.0,1.0
14.0,0.9364055428508655,0.942697666141058,0.006292123290192464,0.9626612604135845,1190.0,4.0,4.0,4.0,4.0,0.0,1.0
1.0,0.16821285099328753,0.17479827973990064,0.006585428746613109,0.9796649982887913,1210.0,4.0,4.0,4.0,4.0,0.0,1.0
9.0,0.13418133997793089,0.14453501754561904,0.010353677567688152,0.9497333574721527,1202.0,4.0,4.0,4.0,4.0,0.0,1.0
4.0,0.10623969902142041,0.11286956890751515,0.006629869886094736,0.9847413347104855,1214.0,4.0,4.0,4.0,4.0,0.0,1.0
5.0,0.06513870404035635,0.07166549764035102,0.006526793599994668,0.9466806760994004,1183.0,4.0,4.0,4.0,4.0,0.0,1.0
1.0,0.10352748298287856,0.11013054471885128,0.006603061735972721,0.9772063503505252,1203.0,4.0,4.0,4.0,4.0,0.0,1.0
1.0,0.10444256585479618,0.11094875501984383,0.006506189165047652,0.9906680505459777,1185.0,4.0,4.0,4.0,4.0,0.0,1.0
10.0,0.13906407078133082,0.14549188798136076,0.006427817200029939,0.9783260910942914,1196.0,4.0,4.0,4.0,4.0,0.0,1.0
0.0,0.08562642691822932,0.09237629617909221,0.006749869260862892,0.978713166607459,1178.0,4.0,4.0,4.0,4.0,0.0,1.0
7.0,0.12087772355913856,0.1279300102720428,0.007052286712904227,0.9790428076449935,1211.0,4.0,4.0,4.0,4.0,0.0,1.0
7.0,0.18493720174681116,0.19145745555077598,0.006520253803964815,0.9638226782897528,1189.0,4.0,4.0,4.0,4.0,0.0,1.0
15.0,0.09124723479634039,0.09773620604740485,0.006488971251064457,0.9984621051130813,1205.0,4.0,4.0,4.0,4.0,0.0,1.0
3.0,0.10007190328879198,0.10665775463619699,0.006585851347405011,0.9824290870852305,1208.0,4.0,4.0,4.0,4.0,0.0,1.0
5.0,0.08594449171839029,0.09249536585041554,0.00655087413202525,0.8817327907466489,1202.0,4.0,4.0,4.0,4.0,0.0,1.0
10.0,0.06326223463556825,0.06986801494746311,0.006605780311894863,0.9589781497316306,1200.0,4.0,4.0,4.0,4.0,0.0,1.0
5.0,0.07083728760539047,0.07749438719945345,0.006657099594062979,0.9863422439160372,1214.0,4.0,4.0,4.0,4.0,0.0,1.0
0.0,0.19966704237000316,0.2062134274984091,0.0065463851284059404,0.9905199515693712,1203.0,4.0,4.0,4.0,4.0,0.0,1.0
3.0,0.051376324096403685,0.05779911078822525,0.006422786691821565,0.9524900712848399,1192.0,4.0,4.0,4.0,4.0,0.0,1.0
4.0,0.33308288064204133,0.3442293877716569,0.011146507129615568,0.9010033807918978,1190.0,4.0,4.0,4.0,4.0,0.0,1.0
1.0,0.09692406097071393,0.10352662948688383,0.006602568516169902,0.9606356769643161,1204.0,4.0,4.0,4.0,4.0,0.0,1.0
5.0,0.11354640886522843,0.12006774242305196,0.006521333557823528,0.9799001920672905,1199.0,4.0,4.0,4.0,4.0,0.0,1.0
3.0,0.0973734026972733,0.10374987152196047,0.006376468824687162,0.9942769142464226,1198.0,4.0,4.0,4.0,4.0,0.0,1.0
13.0,0.22756862584410517,0.2340562352246222,0.00648760938051704,0.9943663608787887,1197.0,4.0,4.0,4.0,4.0,0.0,1.0
8.0,0.12009416662687082,0.12680085076099598,0.00670668413412516,0.875833609773465,1193.0,4.0,4.0,4.0,4.0,0.0,1.0
4.0,0.05905738392364013,0.06570764675548979,0.006650262831849663,0.9773351978946727,1196.0,4.0,4.0,4.0,4.0,0.0,1.0
10.0,0.04214658891225396,0.048778494521678956,0.006631905609424997,0.9663421870770112,1202.0,4.0,4.0,4.0,4.0,0.0,1.0
0.0,0.7562144876920411,0.7628186069210157,0.006604119228974525,0.9421686776258265,1193.0,4.0,4.0,4.0,4.0,0.0,1.0
13.0,0.06878219431634,0.07533088739834115,0.00654869308200115,0.9888243979062757,1203.0,4.0,4.0,4.0,4.0,0.0,1.0
5.0,0.0863318856563484,0.09284019734870463,0.006508311692356231,0.9838107234417315,1197.0,4.0,4.0,4.0,4.0,0.0,1.0
5.0,0.06517627813733687,0.0715946836011449,0.006418405463808036,0.9849593728294911,1197.0,4.0,4.0,4.0,4.0,0.0,1.0
15.0,0.10349319406150925,0.11087861783259909,0.007385423771089833,0.9927745195883455,1198.0,4.0,4.0,4.0,4.0,0.0,1.0
2.0,0.061017343393177534,0.06758264882658868,0.006565305433411148,0.9868992041626637,1211.0,4.0,4.0,4.0,4.0,0.0,1.0
5.0,0.26337978561764624,0.269959953373371,0.006580167755724731,0.9978796741419764,1191.0,4.0,4.0,4.0,4.0,0.0,1.0
6.0,0.8990376457737902,0.905490781309648,0.006453135535857801,0.9643963278982366,1206.0,4.0,4.0,4.0,4.0,0.0,1.0
6.0,0.07804564633288429,0.08455079549570042,0.006505149162816137,0.9944434360885728,1192.0,4.0,4.0,4.0,4.0,0.0,1.0
3.0,0.062476266290477304,0.07031218862177824,0.007835922331300933,0.9473595637231651,1201.0,4.0,4.0,4.0,4.0,0.0,1.0
2.0,0.19232607384432604,0.1986850818179968,0.006359007973670755,0.9987259595296804,1199.0,4.0,4.0,4.0,4.0,0.0,1.0
0.0,0.1228354656658884,0.12927756719189487,0.006442101526006466,0.9915374365398832,1191.0,4.0,4.0,4.0,4.0,0.0,1.0
