winning_agent,winning_bid_value,Winner Aggregated Signal,Profit,Probability,winning_bid_time,N,A,L,S,B,Delay
3.0,0.06155232083829382,0.06807691750860474,0.006524596670310925,0.9892834779873518,1185.0,8.0,0.0,8.0,0.0,0.0,1.0
7.0,0.19115033200323522,0.1976786311448321,0.006528299141596888,0.9875515128822538,1197.0,8.0,0.0,8.0,0.0,0.0,1.0
9.0,0.0808898454464422,0.08723604624963123,0.0063462008031890255,0.9918077409994156,1177.0,8.0,0.0,8.0,0.0,0.0,1.0
9.0,0.0896547770955006,0.09623113244163377,0.00657635534613317,0.9870883350199957,1197.0,8.0,0.0,8.0,0.0,0.0,1.0
3.0,0.06718451693974452,0.07377089665754001,0.006586379717795493,0.9810799170747911,1185.0,8.0,0.0,8.0,0.0,0.0,1.0
11.0,0.07770532619286993,0.08430885168146174,0.006603525488591805,0.9998037882684612,1210.0,8.0,0.0,8.0,0.0,0.0,1.0
7.0,1.1799053332638723,1.1864642531002212,0.006558919836348931,0.9773058913752128,1202.0,8.0,0.0,8.0,0.0,0.0,1.0
12.0,0.11152199926692402,0.11820092311759008,0.006678923850666055,0.9078534753433226,1211.0,8.0,0.0,8.0,0.0,0.0,1.0
15.0,0.08756622861303417,0.09399834402724361,0.006432115414209433,0.933497856886158,1184.0,8.0,0.0,8.0,0.0,0.0,1.0
4.0,0.2457674724467294,0.2522917105870337,0.0065242381403043115,0.9984547006266888,1212.0,8.0,0.0,8.0,0.0,0.0,1.0
4.0,0.1153517114324692,0.12192121794794505,0.006569506515475859,0.9982404604664665,1193.0,8.0,0.0,8.0,0.0,0.0,1.0
3.0,0.043597667741096795,0.050163467595596145,0.00656579985449935,0.9291402314430055,1193.0,8.0,0.0,8.0,0.0,0.0,1.0
6.0,0.15187138155425178,0.1611693266166835,0.009297945062431728,0.943391297698808,1210.0,8.0,0.0,8.0,0.0,0.0,1.0
14.0,0.07597858829160312,0.08250019394987125,0.006521605658268134,0.990673150451267,1181.0,8.0,0.0,8.0,0.0,0.0,1.0
4.0,0.08279128171725185,0.0913272720988974,0.008535990381645556,0.9930683422515235,1215.0,8.0,0.0,8.0,0.0,0.0,1.0
10.0,0.1436366703208448,0.15020882238487562,0.006572152064030834,0.9883760891931697,1200.0,8.0,0.0,8.0,0.0,0.0,1.0
12.0,0.03277197351840046,0.040071473144224726,0.007299499625824268,0.9497483907982138,1208.0,8.0,0.0,8.0,0.0,0.0,1.0
12.0,0.13410525748380508,0.14061903536667422,0.006513777882869137,0.9613732514232323,1208.0,8.0,0.0,8.0,0.0,0.0,1.0
12.0,0.12302817327566268,0.1296661615703805,0.006637988294717817,0.9951963596409776,1201.0,8.0,0.0,8.0,0.0,0.0,1.0
0.0,0.16767319083794716,0.17431402564766701,0.006640834809719859,0.8979232497471251,1209.0,8.0,0.0,8.0,0.0,0.0,1.0
15.0,0.4736205340099723,0.4803885838386879,0.006768049828715594,0.9682933270428927,1209.0,8.0,0.0,8.0,0.0,0.0,1.0
9.0,0.07005934420069382,0.07639095731854867,0.006331613117854851,0.9843278851068158,1194.0,8.0,0.0,8.0,0.0,0.0,1.0
9.0,0.07716441106272305,0.08446261626418552,0.007298205201462474,0.9128751125336738,1205.0,8.0,0.0,8.0,0.0,0.0,1.0
14.0,0.0862330537743541,0.0926831982514251,0.006450144477070999,0.9774044776716898,1197.0,8.0,0.0,8.0,0.0,0.0,1.0
12.0,0.26777502277326265,0.2743452117626845,0.006570188989421855,0.9067193977059567,1207.0,8.0,0.0,8.0,0.0,0.0,1.0
11.0,0.12848219997499857,0.13508664385425856,0.006604443879259986,0.9822627519472487,1200.0,8.0,0.0,8.0,0.0,0.0,1.0
3.0,0.10124219349773146,0.10779256173033133,0.006550368232599871,0.9918398064715555,1210.0,8.0,0.0,8.0,0.0,0.0,1.0
4.0,0.07070239320213073,0.07741070680159741,0.006708313599466678,0.9653808353616955,1195.0,8.0,0.0,8.0,0.0,0.0,1.0
11.0,0.05993188897045897,0.06642413965960708,0.006492250689148112,0.9961389159799088,1190.0,8.0,0.0,8.0,0.0,0.0,1.0
7.0,0.15823647100258292,0.16483191477247017,0.006595443769887244,0.994235275740652,1201.0,8.0,0.0,8.0,0.0,0.0,1.0
9.0,0.1673030643049107,0.17383706694223455,0.0065340026373238436,0.9665489757285002,1204.0,8.0,0.0,8.0,0.0,0.0,1.0
0.0,0.10376011038696425,0.11025266392162678,0.006492553534662521,0.9996250234378851,1208.0,8.0,0.0,8.0,0.0,0.0,1.0
13.0,0.03426741460959025,0.04077660128295574,0.0065091866733654885,0.9846487646231085,1189.0,8.0,0.0,8.0,0.0,0.0,1.0
10.0,0.15247317972104352,0.15893560275205426,0.0064624230310107444,0.9951527073871251,1198.0,8.0,0.0,8.0,0.0,0.0,1.0
4.0,0.057569372931082954,0.06394338927732562,0.00637401634624267,0.9896716399062289,1205.0,8.0,0.0,8.0,0.0,0.0,1.0
13.0,0.05970254783254181,0.06613840578322416,0.0064358579506823554,0.961128592098565,1215.0,8.0,0.0,8.0,0.0,0.0,1.0
5.0,0.08422640900989994,0.09078512457208446,0.006558715562184514,0.9970192765842643,1222.0,8.0,0.0,8.0,0.0,0.0,1.0
3.0,0.16505852446967323,0.17167321639699315,0.006614691927319921,0.9972418535195247,1204.0,8.0,0.0,8.0,0.0,0.0,1.0
6.0,6.179905180396392,6.186453444697574,0.006548264301182272,0.9582320976336947,1203.0,8.0,0.0,8.0,0.0,0.0,1.0
